capability_id,capability_name,scope,owner_domain,canonical_surface,primary_source,semantic_authority,backend_boundary,allowed_projections,interaction_mode,availability,notes
CAP-IAM-001,Seller identity and org context,seller,Identity & System,Profile / AppHeader,GNR + NGT,Backend access/profile contract,/auth/me + seller profile,Today:context|Route:context|Orders:context|Customers:context,read,active,Identity projection only; no duplicate profile workflow
CAP-IAM-002,Device and seller policy,seller,Identity & System,Profile / Settings,NGT,NGT device/app policy,Seller Workspace policy context,Orders:context|Route:context|Today:signal,read,active,Policy remains source-driven
CAP-IAM-003,Session and logout,global,Identity & System,Profile / Settings,NeginAI Backend,Auth service,/auth/*,AppHeader:context,read+local-write,active,Single canonical session workflow
CAP-FLD-001,Working calendar and off-day,seller,Field Operations,Today / Mission Control,NGT,NGT calendar semantics,Seller Workspace route/calendar context,Route:context|Orders:context,read,active,Orders may consume off-day state but not redefine it
CAP-FLD-002,Assigned and effective routes,seller,Field Operations,Route / Field Execution,NGT,NGT route semantics,/seller-workspace/routes,Today:summary|Customer360:context,read,active,NGT owns assignment
CAP-FLD-003,Route customer membership,seller,Field Operations,Route / stop plan,NGT,NGT route membership,/seller-workspace/routes/{path_id}/customers,Today:aggregate|Customers:context,read,active,Customer entity may project membership only
CAP-FLD-004,Visit policy,seller,Field Operations,Visit Workspace,NGT,NGT visit policy,/seller-workspace/previsit/policy,Today:signal|Orders:context|Customer360:context,read,active,Single visit-policy interpretation
CAP-FLD-005,Visit lifecycle,seller,Field Operations,Visit Workspace,NGT + NeginAI local state,Visit workflow contract,/seller-workspace/previsit/visits*,Today:summary|Customer360:history|Customer360:deep-link|Orders:context,read+local-write,active,Visit outcome belongs to field execution
CAP-FLD-006,GPS and location policy,seller,Field Operations,Route / Field Execution,NGT,NGT location policy,Seller Workspace route context,Today:signal|Visit:context,read,partial,Policy active; richer UX underused
CAP-FLD-007,Actual field telemetry,seller,Field Operations,Route / Field Execution,Cloud / grs,Future bounded telemetry read model,Not yet in Seller Workspace,Today:summary|Reports:aggregate|Customer360:context,read,gap,Must not surface until read model is validated
CAP-FLD-008,Map and navigation,seller,Field Operations,Route / Map,Neshan + NGT,Neshan routing with NGT assignment,/seller-workspace/map-config + map-plan + map-leg,Today:deep-link|Customer360:deep-link,read,active,Map provider is not route authority
CAP-CUS-001,Customer master,seller,Customer Intelligence,Customers / Customer360,GNR + NGT,Customer semantic model,/seller-workspace/customers/{id}/profile,Route:context|Orders:context|Today:signal,read,active,Customer identity defined once
CAP-CUS-002,Customer segmentation and classification,seller,Customer Intelligence,Customers,NGT + GNR,Customer classification contract,Customer profile/read model,Today:aggregate|Reports:aggregate|Route:context,read,active,No duplicate segment engines
CAP-CUS-003,Customer360 composed profile,seller,Customer Intelligence,Customer360,NGT + GNR + Acc + SLE,Seller Workspace composed profile,/seller-workspace/*/customers/{id}/profile,Today:deep-link|Route:context|Orders:context,read,active,Composition surface; does not own finance semantics
CAP-CUS-004,Customer call and order interaction history,seller,Customer Intelligence,Customer360 > History,NGT,NGT CustomerCalls semantics,Underused backend/read model,Reports:aggregate|Today:signal,read,partial,Inventory says currently underused
CAP-COM-000,Selling workspace and order session context,seller,Commercial & Orders,Orders / Selling Workspace,NGT + NeginAI visit state,Selling workflow boundary,/seller-workspace/previsit/*,Customer360:deep-link|Route:deep-link|Today:deep-link|Customers:deep-link,read+local-write,active,Canonical entry point for customer selling workflow
CAP-COM-001,Seller catalog and product template,seller,Commercial & Orders,Orders / Catalog,NGT,NGT catalog/template semantics,/seller-workspace/previsit/context + browse-context,Customer360:context|Today:signal,read,active,Canonical sellable-product discovery
CAP-COM-002,Seller brand scope,seller,Commercial & Orders,Orders / Catalog filters,NGT,NGT seller scope,/seller-workspace/brands,Today:signal|Reports:aggregate,read,gap,Backend exists; no direct frontend usage found
CAP-COM-003,Product units,seller,Commercial & Orders,Orders / Product detail,NGT,NGT unit semantics,Previsit catalog context,None,read,active,Single unit conversion source
CAP-COM-004,Product images,seller,Commercial & Orders,Orders / Product detail,NGT ImageInfoes + catalog endpoint,NGT image/catalog contract,/seller-workspace/previsit/catalog-images/*,Customers:context,read,gap,Endpoint exists; direct UI use missing
CAP-COM-005,Stock available to sell,seller,Commercial & Orders,Orders / Product detail,NGT + FRU + inv,Backend inventory semantic layer,Previsit/context + stock validation,Customer360:context|Reports:aggregate|Today:signal,read,active,Do not calculate independent stock truth in UI
CAP-COM-006,Base and contract price,seller,Commercial & Orders,Orders / Product detail,NGT + SLE,Commercial price semantic contract,Previsit/context,Customer360:context|Reports:aggregate,read,partial,Official final quote is separate capability
CAP-COM-007,Order type policy,seller,Commercial & Orders,Orders / Checkout,NGT,NGT DeviceOrderTypes/OrderTypes,Previsit policy/context,None,read,active,Policy-driven options only
CAP-COM-008,Payment type policy,seller,Commercial & Orders,Orders / Checkout,NGT,NGT payment compatibility,Previsit policy/context,Customer360:context,read,active,No UI-created compatibility rules
CAP-COM-009,Official commercial preview,seller,Commercial & Orders,Orders / Official Preview,NGT EVC REST,Official NGT EVC contract,/seller-workspace/previsit/preview,Today:signal|Customer360:context,external-preview,gated,Backend code exists; runtime NGT REST not configured
CAP-COM-010,Discount result,seller,Commercial & Orders,Orders / Official Preview,SLE + NGT EVC,Official preview + ERP rule evidence,Preview normalization,Today:alert|Reports:aggregate,external-preview,gated,Do not claim official discount without EVC
CAP-COM-011,Prize and reward result,seller,Commercial & Orders,Orders / Official Preview,SLE + NGT EVC,Official preview + ERP rule evidence,Preview normalization,Today:alert|Reports:aggregate,external-preview,gated,Final prize order bridge remains unsupported
CAP-COM-012,Credit control in order flow,seller,Commercial & Orders,Orders / Official Preview,ERP + NGT,Credit/preview semantic contract,Preview + alert observers,Customer360:summary|Today:alert|Alerts:alert,external-preview,partial,Needs official flow verification
