catalog_id,system,domain,capability,source_contract,backend_boundary,current_state,ui_state,canonical_owner,notes
NGT-001,NGT,Identity,Seller identity,NGT.Personnels + NGT.Users,/auth/me + seller profile,ACTIVE,ACTIVE,Identity & System,Personnel identity and seller context
NGT-002,NGT,Identity,Device-user binding,NGT.DeviceUsers,Seller policy context,ACTIVE,PARTIAL,Identity & System,Device association
NGT-003,NGT,Policy,Device/app policy,NGT.DeviceSettings + NGT.AppSettings,Previsit/route policy,ACTIVE,PARTIAL,Identity & System,GPS distance customer edit visibility policies
NGT-004,NGT,Field Operations,Working calendar,CalendarTemplates + Holidays,Seller route/calendar context,ACTIVE,ACTIVE,Field Operations,Working and off day semantics
NGT-005,NGT,Field Operations,Assigned/effective route,VisitTemplates + VisitTemplatePaths,/seller-workspace/routes,ACTIVE,ACTIVE,Field Operations,NGT is route authority
NGT-006,NGT,Field Operations,Route customer membership,VisitTemplatePathCustomers,/seller-workspace/routes/{path_id}/customers,ACTIVE,ACTIVE,Field Operations,Primary membership
NGT-007,NGT,Field Operations,Secondary route customers,VisitTemplatePathSecondaryCustomers,Seller route context,ACTIVE,PARTIAL,Field Operations,Secondary membership
NGT-008,NGT,Field Operations,Visit plan and overrides,VisitPlans + VisitPlanVacations + DayPaths,Seller route/calendar context,ACTIVE,ACTIVE,Field Operations,Effective daily plan
NGT-009,NGT,Field Operations,Tour context,NGT.Tours,Previsit visit workflow,ACTIVE,ACTIVE,Field Operations,Tour execution context
NGT-010,NGT,Customer,Customer field-sales master,NGT.Customers,Customer profile read model,ACTIVE,ACTIVE,Customer Intelligence,Field-sales customer projection
NGT-011,NGT,Customer,Customer classification,Categories + Levels + MainSubTypes + OwnerTypes + Activities,Customer profile read model,ACTIVE,ACTIVE,Customer Intelligence,Segmentation and classification
NGT-012,NGT,Customer,No-sale reasons,NGT.NoSaleReasons,Visit outcome policy,ACTIVE,ACTIVE,Field Operations,Canonical no-sale reason set
NGT-013,NGT,Customer,Call/order interaction history,CustomerCalls + CustomerCallOrders + CustomerCallOrderLines,Underused read model,PARTIAL,GAP,Customer Intelligence,Should feed Customer360 history
NGT-014,NGT,Catalog,Product template,ProductTemplates + ProductTemplateDetails,Previsit context/browse,ACTIVE,ACTIVE,Commercial & Orders,Seller sellable structure
NGT-015,NGT,Catalog,Seller catalog,Catalogs + CatalogProducts,Previsit context/browse,ACTIVE,ACTIVE,Commercial & Orders,Sellable product scope
NGT-016,NGT,Catalog,Product units,ProductUnits + Units,Previsit context,ACTIVE,ACTIVE,Commercial & Orders,Unit semantics
NGT-017,NGT,Catalog,Product images,ImageInfoes,/seller-workspace/previsit/catalog-images/*,ACTIVE,GAP_PARTIAL,Commercial & Orders,Backend endpoint exists
NGT-018,NGT,Commercial,Seller brand scope,NGT-backed seller scope,/seller-workspace/brands,ACTIVE,GAP,Commercial & Orders,No direct UI usage found
NGT-019,NGT,Commercial,Stock context,NGT.Stocks,Previsit context + validation,ACTIVE,ACTIVE,Commercial & Orders,Do not recalculate in UI
NGT-020,NGT,Commercial,Contract/base price,NGT.ContractPrices,Previsit context,ACTIVE,PARTIAL,Commercial & Orders,Distinct from official final quote
NGT-021,NGT,Commercial,Order type policy,DeviceOrderTypes + OrderTypes,Previsit policy/context,ACTIVE,ACTIVE,Commercial & Orders,Policy-driven options
NGT-022,NGT,Commercial,Payment type policy,PaymentTypes + PaymentTypeOrders + DealerPaymentTypes,Previsit policy/context,ACTIVE,ACTIVE,Commercial & Orders,Compatibility source
NGT-023,NGT,Commercial,Official commercial preview,NGT EVC REST,/seller-workspace/previsit/preview,GATED,PARTIAL,Commercial & Orders,Runtime NGT REST not verified
